element,TAG_before,ID_before,TYPE_before,CLASS_before,NAME_before,ARIA_AUTOCOMPLETE_before,TITLE_before,HREF_before,TEXT_before,VALUE_before,ARIA_LABEL_before,TAG_after,ID_after,TYPE_after,CLASS_after,NAME_after,ARIA_AUTOCOMPLETE_after,TITLE_after,HREF_after,TEXT_after,VALUE_after,ARIA_LABEL_after
0,0,-1,-1,0,-1,,-1,-1,0,,-1,0,-1,-1,0,-1,,-1,-1,0,,-1
1,1,-1,-1,-1,-1,,-1,-1,1,,-1,1,-1,-1,-1,-1,,-1,-1,1,,-1
2,2,-1,-1,-1,-1,,-1,0,-1,,-1,2,-1,-1,-1,-1,,-1,0,-1,,-1
2,2,-1,-1,-1,-1,,-1,0,-1,,-1,2,-1,0,-1,-1,,-1,1,-1,,-1
2,2,-1,-1,-1,-1,,-1,0,-1,,-1,2,-1,0,-1,-1,,-1,2,-1,,-1
2,2,-1,-1,-1,-1,,-1,0,-1,,-1,2,-1,0,-1,-1,,-1,3,-1,,-1
2,2,-1,-1,-1,-1,,-1,0,-1,,-1,2,-1,-1,-1,-1,,-1,3,-1,,-1
2,2,-1,-1,-1,-1,,-1,0,-1,,-1,2,-1,-1,-1,-1,,-1,4,-1,,-1
2,2,-1,-1,-1,-1,,-1,0,-1,,-1,2,-1,-1,-1,-1,,-1,5,-1,,-1
2,2,-1,0,-1,-1,,-1,1,-1,,-1,2,-1,-1,-1,-1,,-1,0,-1,,-1
2,2,-1,0,-1,-1,,-1,1,-1,,-1,2,-1,0,-1,-1,,-1,1,-1,,-1
2,2,-1,0,-1,-1,,-1,1,-1,,-1,2,-1,0,-1,-1,,-1,2,-1,,-1
2,2,-1,0,-1,-1,,-1,1,-1,,-1,2,-1,0,-1,-1,,-1,3,-1,,-1
2,2,-1,0,-1,-1,,-1,1,-1,,-1,2,-1,-1,-1,-1,,-1,3,-1,,-1
2,2,-1,0,-1,-1,,-1,1,-1,,-1,2,-1,-1,-1,-1,,-1,4,-1,,-1
2,2,-1,0,-1,-1,,-1,1,-1,,-1,2,-1,-1,-1,-1,,-1,5,-1,,-1
2,2,-1,0,-1,-1,,-1,2,-1,,-1,2,-1,-1,-1,-1,,-1,0,-1,,-1
2,2,-1,0,-1,-1,,-1,2,-1,,-1,2,-1,0,-1,-1,,-1,1,-1,,-1
2,2,-1,0,-1,-1,,-1,2,-1,,-1,2,-1,0,-1,-1,,-1,2,-1,,-1
2,2,-1,0,-1,-1,,-1,2,-1,,-1,2,-1,0,-1,-1,,-1,3,-1,,-1
2,2,-1,0,-1,-1,,-1,2,-1,,-1,2,-1,-1,-1,-1,,-1,3,-1,,-1
2,2,-1,0,-1,-1,,-1,2,-1,,-1,2,-1,-1,-1,-1,,-1,4,-1,,-1
2,2,-1,0,-1,-1,,-1,2,-1,,-1,2,-1,-1,-1,-1,,-1,5,-1,,-1
2,2,-1,0,-1,-1,,-1,3,-1,,-1,2,-1,-1,-1,-1,,-1,0,-1,,-1
2,2,-1,0,-1,-1,,-1,3,-1,,-1,2,-1,0,-1,-1,,-1,1,-1,,-1
2,2,-1,0,-1,-1,,-1,3,-1,,-1,2,-1,0,-1,-1,,-1,2,-1,,-1
2,2,-1,0,-1,-1,,-1,3,-1,,-1,2,-1,0,-1,-1,,-1,3,-1,,-1
2,2,-1,0,-1,-1,,-1,3,-1,,-1,2,-1,-1,-1,-1,,-1,3,-1,,-1
2,2,-1,0,-1,-1,,-1,3,-1,,-1,2,-1,-1,-1,-1,,-1,4,-1,,-1
2,2,-1,0,-1,-1,,-1,3,-1,,-1,2,-1,-1,-1,-1,,-1,5,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
4,3,-1,-1,-1,0,,-1,-1,-1,,-1,3,-1,-1,-1,0,,-1,-1,-1,,-1
5,3,-1,-1,-1,1,,-1,-1,-1,,-1,3,-1,-1,-1,1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
3,3,-1,-1,-1,-1,,-1,-1,-1,,-1,3,-1,-1,-1,-1,,-1,-1,-1,,-1
